                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.52403,                 1.2499,                 1.6532,                0.69884,                0.77513,                0.80349,                0.70399,                0.41855,                 1.2422,                 1.4575,             0.00017532,             0.00017532,             0.00017532
                    130,                0.52292,                 1.2787,                 1.6607,                0.68104,                0.85242,                0.82664,                 0.7514,                0.41695,                 1.4066,                 1.4745,             0.00016801,             0.00016801,             0.00016801
                    131,                0.51274,                 1.2542,                 1.6624,                0.82719,                0.73941,                0.85941,                0.77028,                0.40138,                 1.3172,                 1.4238,              0.0001607,              0.0001607,              0.0001607
                    132,                 0.5532,                 1.3198,                  1.659,                0.73011,                0.86924,                0.85063,                0.76262,                0.40322,                 1.2405,                 1.4184,             0.00015339,             0.00015339,             0.00015339
                    133,                0.50702,                 1.2353,                 1.6278,                0.84257,                0.84093,                 0.8685,                0.79475,                0.40726,                 1.2768,                 1.4238,             0.00014608,             0.00014608,             0.00014608
                    134,                0.55485,                 1.2738,                 1.6988,                0.81788,                0.75647,                0.84353,                 0.7724,                0.39682,                 1.3245,                 1.4163,             0.00013877,             0.00013877,             0.00013877
                    135,                 0.5364,                   1.22,                 1.6733,                0.83574,                0.76447,                0.84891,                0.76532,                0.38948,                 1.2695,                 1.4063,             0.00013146,             0.00013146,             0.00013146
                    136,                0.53895,                 1.2193,                 1.6562,                0.82454,                0.76729,                0.85094,                0.77809,                0.37992,                 1.1198,                 1.4019,             0.00012415,             0.00012415,             0.00012415
                    137,                0.52945,                 1.2156,                 1.6538,                0.80472,                0.77763,                0.85171,                0.76511,                0.37203,                 1.1045,                 1.4038,             0.00011684,             0.00011684,             0.00011684
                    138,                 0.5338,                 1.1895,                 1.6375,                0.75467,                0.81765,                0.84101,                0.76127,                0.39468,                 1.1076,                  1.415,             0.00010953,             0.00010953,             0.00010953
                    139,                0.54919,                 1.2148,                 1.6562,                0.84828,                0.79364,                0.85854,                0.77736,                0.39412,                 1.1201,                 1.4338,             0.00010222,             0.00010222,             0.00010222
                    140,                0.51911,                 1.2067,                 1.6793,                0.84807,                0.82002,                0.86621,                 0.7951,                0.39744,                 1.1924,                 1.4406,             9.4909e-05,             9.4909e-05,             9.4909e-05
