                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.71206,                0.92175,                 1.2647,                0.84567,                0.76683,                0.84007,                0.73593,                0.56906,                 0.8714,                 1.2011,             0.00063805,             0.00063805,             0.00063805
                    131,                0.70701,                0.92064,                 1.2629,                0.62185,                0.61721,                0.72976,                0.63829,                0.59748,                 1.5796,                 1.2219,             0.00063438,             0.00063438,             0.00063438
                    132,                0.70623,                0.91852,                 1.2481,                0.80555,                0.82198,                0.87881,                0.77417,                0.56362,                0.78675,                 1.2042,             0.00063071,             0.00063071,             0.00063071
                    133,                0.67869,                0.94652,                 1.2364,                0.71629,                0.86474,                0.82992,                0.74366,                0.55371,                0.88775,                 1.2163,             0.00062705,             0.00062705,             0.00062705
                    134,                0.67208,                0.96879,                 1.2328,                0.71374,                0.74153,                 0.7963,                0.70646,                0.57219,                 1.1146,                 1.2108,             0.00062338,             0.00062338,             0.00062338
                    135,                 0.6783,                0.89788,                 1.2218,                0.80384,                 0.8604,                0.86055,                0.77726,                0.52633,                0.81596,                 1.1687,             0.00061972,             0.00061972,             0.00061972
                    136,                 0.6897,                 0.9076,                 1.2559,                0.73437,                0.88394,                  0.864,                0.76034,                0.56219,                0.84106,                 1.1766,             0.00061605,             0.00061605,             0.00061605
                    137,                0.63862,                0.87972,                 1.2026,                0.70364,                0.66443,                0.74964,                0.65073,                 0.5969,                 1.4041,                 1.2138,             0.00061238,             0.00061238,             0.00061238
                    138,                0.63972,                0.90074,                 1.1808,                0.81782,                0.85174,                0.87593,                0.76179,                 0.6065,                0.78275,                 1.2189,             0.00060872,             0.00060872,             0.00060872
                    139,                0.69133,                   0.91,                 1.2404,                0.72388,                 0.8414,                0.78796,                0.72404,                0.56618,                 1.1266,                 1.1685,             0.00060505,             0.00060505,             0.00060505
                    140,                0.66024,                0.91565,                  1.205,                0.62161,                0.72435,                0.78478,                0.68719,                0.57201,                 1.3234,                 1.1891,             0.00060138,             0.00060138,             0.00060138
                    141,                0.62663,                0.94012,                 1.2032,                0.84905,                0.75262,                0.85449,                0.77168,                0.50901,                0.82228,                 1.1403,             0.00059772,             0.00059772,             0.00059772
                    142,                0.64832,                0.95135,                 1.2184,                0.80129,                0.85294,                 0.8907,                0.80496,                0.52421,                0.75368,                 1.1593,             0.00059405,             0.00059405,             0.00059405
                    143,                0.67446,                0.90265,                 1.2343,                0.71571,                0.77569,                  0.823,                0.73217,                0.57498,                  1.048,                 1.2127,             0.00059039,             0.00059039,             0.00059039
                    144,                0.65354,                0.85516,                 1.2296,                0.70805,                0.79758,                 0.8165,                0.72161,                0.59961,                0.98813,                 1.2195,             0.00058672,             0.00058672,             0.00058672
                    145,                0.65424,                0.88502,                 1.2036,                 0.8026,                0.83637,                0.87631,                0.76244,                0.58889,                0.80251,                 1.2246,             0.00058305,             0.00058305,             0.00058305
                    146,                0.63961,                 0.9009,                 1.1961,                0.74049,                0.78747,                0.80175,                0.71454,                0.53926,                0.93024,                 1.1696,             0.00057939,             0.00057939,             0.00057939
                    147,                0.65714,                0.87322,                 1.2062,                0.61157,                0.81523,                0.72183,                0.64201,                0.57065,                 1.1832,                 1.2059,             0.00057572,             0.00057572,             0.00057572
                    148,                0.63065,                 0.8733,                 1.1817,                0.87774,                 0.6811,                0.86648,                0.77457,                0.55416,                0.88401,                 1.1845,             0.00057205,             0.00057205,             0.00057205
